26.73,68.65
27.1,68.88
21.71,60.02
20.97,47.25
29.43,49.71
26.02,60.54
25.11,44.98
23.54,44.94
23.33,51.52
20.85,40.98
22.48,49.1
20.31,47.61
28.85,44.27
27.97,69.91
28.65,40.52
25.95,52.48
21.73,63.74
22.09,66.6
22.38,48.3
22.88,61.2
22.52,62.91
22.5,43.95
22.02,47.39
23.19,48.77
21.3,45.56
23.64,40.9
28.99,65.54
24.37,46.36
21.93,65.36
27.18,45.15
21.97,52.07
24.58,60.97
24.63,55.3
22.52,41.99
22.34,48.43
20.87,64.82
27.28,60.09
26.44,40.27
22.48,69.76
29.55,69.74
20.78,58.46
24.91,48.48
27.33,68.74
21.35,63.6
20.13,56.79
27.98,50.99
25.89,62.44
23.0,54.04
24.64,61.87
28.13,66.22
27.15,42.07
22.12,57.2
24.36,60.36
26.66,66.38
26.95,65.96
29.44,40.25
23.97,67.7
23.08,50.77
22.19,42.0
29.84,63.25
21.98,54.22
21.58,44.91
27.2,48.5
27.99,46.91
28.28,40.48
28.81,44.92
21.66,56.81
20.17,55.94
27.26,51.05
23.43,59.03
20.14,66.17
24.95,68.27
28.65,54.4
23.12,41.19
26.21,42.77
26.74,58.4
20.21,56.91
23.86,52.48
26.64,45.69
27.82,55.39
26.48,45.43
28.23,66.72
25.3,66.59
26.99,54.1
28.74,49.03
26.21,67.5
21.74,47.85
23.34,69.34
28.0,50.92
25.29,69.52
22.93,54.85
25.11,68.43
28.2,44.12
29.43,49.64
26.03,41.43
29.11,55.84
21.12,46.27
22.92,54.05
23.13,47.87
27.19,52.66
21.14,52.83
22.03,49.4
26.33,64.6
22.59,43.0
29.32,58.08
22.42,56.94
25.54,65.51
20.48,58.94
20.94,43.22
20.0,55.81
23.1,64.8
20.08,65.7
24.01,47.0
29.04,50.08
25.92,52.45
25.73,69.76
20.13,60.1
28.81,47.06
21.49,45.26
27.88,49.9
25.83,49.93
25.05,50.04
21.25,63.9
21.43,56.1
22.43,49.88
22.81,64.05
25.95,57.45
25.6,51.95
27.25,42.68
22.18,45.46
22.33,50.5
25.83,50.6
23.42,48.41
25.77,49.68
26.05,63.18
26.65,64.16
23.04,45.1
20.05,65.21
22.8,54.58
22.1,46.6
28.85,41.58
25.25,60.95
26.01,40.93
23.11,50.1
28.69,45.76
29.73,51.19
23.08,52.79
24.03,53.93
29.03,61.4
29.05,42.97
25.28,43.84
26.91,66.84
22.0,65.17
25.77,59.86
24.71,51.43
24.61,47.82
22.73,45.94
28.97,66.63
24.4,49.71
24.03,67.49
26.64,57.72
20.17,57.11
29.8,42.86
26.74,68.55
25.46,56.55
29.89,44.09
20.28,53.56
23.09,43.89
24.71,57.01
21.09,57.21
20.82,52.34
26.23,56.31
27.0,51.79
20.49,63.57
29.19,58.98
26.2,47.48
26.37,41.6
25.27,52.79
